Washington Reported Point Source Emissions (2009 – 2019),,,,,,,,,,,,,,,,
Last Updated: Jan. 2021,,,,,,,,,,,,,,,,
All Emissions Reported as Tons per Year,,,,,,,,,,,,,,,,
,,,,Criteria Pollutant Emissions (Facility Totals),,,,,,,,,,,,
2019,Dept. of Ecology Eastern Regional Office,WALLA WALLA,Gas Transmission Northwest Station 7,1.46,1.46,1.83,84.55,4.84,111.2,,Lyons Ferry Rd.,Starbuck,99359,46.53640,-118.29340,CAP Major
2019,Dept. of Ecology Eastern Regional Office,WHITMAN,Washington State University,4.54006,4.54006,0.3667,13.34,1.340375,1.324015,,WSU EH&S 2660 Grimes Way,Pullman,99164-1172,46.72947,-117.17075,CAP Major
2019,Dept. of Ecology Eastern Regional Office,WHITMAN,Guy Bennett Lumber,16.42,6.63,2.02,22.63,33.02,48.7,,2050 Wilma Dr,Clarkston,99403,46.42326,-117.08644,CAP Major
2019,Dept. of Ecology Central Regional Office,DOUGLAS,Greater Wenatchee Regional Landfill & Recycling Center,12.43,4.4,3.13,7.67,2.97,3.13,8.45,191 Webb Road,East Wenatchee,98802,47.40368,-120.16570,CAP Major
2019,Dept. of Ecology Central Regional Office,KLICKITAT,SDS Lumber Company,41.94,23.18,5.09,35.64,108.8,139.61,0,123 Industrial Road,Bingen,98605,45.71056,-121.47278,CAP Major
2019,Dept. of Ecology Central Regional Office,KLICKITAT,Roosevelt Regional Landfill,75.36485,21.74485,28.05,13.58,75.32,5.65,,500 Roosevelt Grade Rd,Roosevelt,99356-0338,45.79528,-120.17806,HAP and CAP Major
2019,Dept. of Ecology Central Regional Office,KLICKITAT,Goldendale Generating Station,7.9,7.9,3.704025,47.143855,0.3,1.605345,6.5,600 Industrial Way,Goldendale,98620,45.81056,-120.83363,CAP Major
2019,Dept. of Ecology Central Regional Office,KLICKITAT,LAB Washington - Ash Recycling Facility,0.96,0.46,,,,,,500 Roosevelt Grade Rd,Roosevelt,99356,45.79686,-120.19178,HAP and CAP Major
2019,Puget Sound Clean Air Agency,KING,King Co Ntrl Res Wastewater Treatment,1.3055,,6.8815,16.593,6.526,47.2315,,1400 Discovery Park Blvd (West Point),Seattle,98199,47.661343,-122.431308,HAP Major
2019,Puget Sound Clean Air Agency,KING,King Co Solid Waste Op Sec Cedar Hills,,,2.6705,4.8745,0.4615,0.5785,,16645 228th Ave SE,Maple Valley,98038,47.4561,-122.0437,HAP Major
2019,Puget Sound Clean Air Agency,KING,Nucor Steel Seattle Inc,0,0,60.7455,160.199,0,314.601,,2424 SW Andover St,Seattle,98106,47.5703,-122.3676,HAP Major
2019,Puget Sound Clean Air Agency,KING,Franz Seattle Division - Weller St.,,,,,92.3425,,,2006 S Weller St,Seattle,98144,47.597568,-122.304299,
2019,Puget Sound Clean Air Agency,KING,Franz Seattle Division - 6th Ave.,,,,0,48.741,,0,2901 6th Ave S,Seattle,98134,47.577453,-122.326107,
2019,Puget Sound Clean Air Agency,KING,Ash Grove Cement Company,16.4625,10.1845,77.665,1066.0285,2.9085,958.531,1.7435,3801 E Marginal Way S,Seattle,98134-1113,47.56799,-122.34255,Unknown
2019,Puget Sound Clean Air Agency,KING,Ardagh Glass Inc.,66.5345,63.3075,56.65,172.6695,20.037,28.5625,,5801 E Marginal Way S,Seattle,98134,47.5507,-122.3369,HAP Major
2019,Puget Sound Clean Air Agency,KING,"Vigor Shipyards, Inc",0.2,0.056,0.003,0,18.4615,0.444,0.017,1801 16th Ave SW,Seattle,98134,47.58608,-122.35552,Unknown
2019,Puget Sound Clean Air Agency,KING,Boeing Commercial Airplane Auburn,0,0,0,64.2615,117.959,28.7195,0.0005,700 15th St SW,Auburn,98002,47.282303,-122.238361,HAP Major
2019,Puget Sound Clean Air Agency,KING,Boeing Commercial Airplane Renton,0,0,0,43.6425,269.343,0,0.749,737 Logan Ave N  Bldg 4-88 (5th & Logan),Renton,98055,47.492662,-122.208773,HAP Major
2019,Puget Sound Clean Air Agency,KING,Enwave,0,,0,179.9805,0,54.388,0,1319 Western Ave,Seattle,98101,47.605944,-122.336118,Unknown
2019,Puget Sound Clean Air Agency,KING,Kenworth Truck Co - Renton,0.206,0.206,0.016,2.712,82.412,2.278,0,1601 N 8th St,Renton,98057,47.496361,-122.195932,
2019,Puget Sound Clean Air Agency,KING,Boeing Commercial Airplane Seattle,0,0,0,25.462,108.03,0,0.6375,7700 E Marginal Wy S,Seattle,98108,47.53507,-122.313656,Unknown
2019,Puget Sound Clean Air Agency,KING,"Univ. of WA Seattle Campus (aka WA Univ. of, Power Plant & Hospital)",0,,0,92.408,0,34.2205,0,201 Hall Health Center,Seattle,98195-4400,47.651521,-122.30499,
2019,Puget Sound Clean Air Agency,KING,Rexam Beverage Can Co DBA Ball Corp.,0.374,,0.0295,4.919,170.08,4.132,,1220 2nd Ave N,Kent,98032,47.396549,-122.233403,HAP Major
2019,Puget Sound Clean Air Agency,KITSAP,US Navy Puget Sound Naval Shipyard PSNS,20.104,2.294,,0,137.3055,,0,1400 Farragut Ave,Bremerton,98314,47.5602,-122.6368,HAP Major
2019,Puget Sound Clean Air Agency,PIERCE,Georgia-Pacific Gypsum LLC,31.939,31.939,,37.349,0,91.5255,,1240 Alexander Ave E,Tacoma,98421-4104,47.269558,-122.394869,Unknown
2019,Puget Sound Clean Air Agency,PIERCE,Puget Sound Energy Frederickson,4.3705,4.3705,1.2545,83.0175,1.3865,19.8945,0,4714 192nd St E,Tacoma,98446,47.081972,-122.367684,
2019,Puget Sound Clean Air Agency,PIERCE,Frederickson Power LP,46.2,,2.9,50.6,21.5,0.1,0,18610 50th Ave E,Tacoma,98446,47.086227,-122.365678,
2019,Puget Sound Clean Air Agency,PIERCE,Toray Composites Materials America,,,,,50.29,,,19002 50th Ave E,Tacoma,98446,47.087462,-122.361335,HAP Major
2019,Puget Sound Clean Air Agency,PIERCE,Graymont Western US Inc,9.643,3.662,0,0,0,0,0,1220 Alexander Ave,Tacoma,98421,47.271365,-122.397262,HAP Major
2019,Puget Sound Clean Air Agency,PIERCE,Pierce Co Recycling Composting and Disposal LLC,,,0,0,0,29.002,,30919 Meridian St E,Graham,98338,46.971045,-122.293929,
2019,Puget Sound Clean Air Agency,PIERCE,"Arclin Surfaces, LLC",,,,,19.579,,0,2144 Milwaukee Way,Tacoma,98421-2706,47.248079,-122.403195,
2019,Puget Sound Clean Air Agency,PIERCE,US Oil & Refining Co,12.079,,3.7645,142.0565,205.071,69.886,44.073,3001 Marshall Ave,Tacoma,98421,47.255334,-122.393378,HAP Major
2019,Puget Sound Clean Air Agency,PIERCE,"Boeing Commercial Airplane, Frederickson",0,0,0,0,44.9105,0,0,18001 Canyon Rd E,Puyallup,98375,47.086178,-122.344276,Unknown
2019,Puget Sound Clean Air Agency,PIERCE,"Pacific Crest Industries, Inc. dba Bellmont Cabinets Company",,,,,116.7315,,0,13610 52nd St E,Sumner,98390,47.210075,-122.248765,
2019,Puget Sound Clean Air Agency,PIERCE,Carlisle Construction Materials Incorporated,,,,,102.6685,,,19727 57th Ave E,Puyallup,98375,47.075893,-122.352651,
2019,Puget Sound Clean Air Agency,PIERCE,Emerald City Renewables LLC,8.0015,8.0015,27.9095,23.9125,17.2115,132.244,,30919 Meridian St E,Graham,98338,46.974656,-122.292485,
2019,Puget Sound Clean Air Agency,SNOHOMISH,Hampton Lumber Mills Washington Inc,14.9865,,11.05,64.695,71.806,71.532,0,46921 288th NE Sauk Prairie Rd,Darrington,98241,48.2636,-121.5974,
2019,Puget Sound Clean Air Agency,SNOHOMISH,Boeing Commercial Airplane Group - Everett,0,,0,81.2785,418.5975,47.27,1.6525,3003 W Casino Rd,Everett,98204,47.919607,-122.277239,HAP Major
2019,Northwest Clean Air Agency,ISLAND,NAS WHIDBEY - AULT FIELD AND SEAPLANE BASE,4.1,3.8,0,8.9,30.49,7.8,0.0534,NAS WHIDBEY ISLAND - AULT FIELD AND SEAPLANE BASE,Oak Harbor,98278-3500,48.34319,-122.66936,HAP and CAP Major
2019,Northwest Clean Air Agency,SKAGIT,SHELL PUGET SOUND REFINERY,176.39,176.39,214.56,1164.63,474.83,571.18,4.5825,8505 SOUTH TEXAS ROAD,Anacortes,98221-9340,48.46661,-122.56197,CAP Major
2019,Northwest Clean Air Agency,SKAGIT,TESORO NORTHWEST COMPANY,150,146.6,73.8,2097.9,904.4,445.7,2.86,10200 W MARCH POINT RD,Anacortes,98221-8662,48.49722,-122.56417,HAP and CAP Major
2019,Northwest Clean Air Agency,SKAGIT,NORTHWEST PIPELINE GP MT VERNON,2.25,2.25,0.42,98.91,5.13,76.41,0,15498 LANGE RD,Mount Vernon,98273-8537,48.41333,-122.20917,HAP and CAP Major
2019,Northwest Clean Air Agency,SKAGIT,Diamond Fiberglass Northwest,0,0,0,0,0.41,0,0,750 S SPRUCE ST,Burlington,98233-0428,48.46990,-122.33078,HAP Major
2019,Northwest Clean Air Agency,SKAGIT,NORDIC TUGS INC,0,0,0,0,0,0,0,11367 HIGGINS AIRPORT WAY,Burlington,98233-5309,48.47948,-122.41996,Synthetic Non-Major
2019,Northwest Clean Air Agency,SKAGIT,PACIFIC WOODTECH,2.234225,1.063015,0.01975,2.35,40.0885,3.18,,1850 PARK LANE,Burlington,98233-0465,48.49030,-122.32800,HAP Major
2019,Northwest Clean Air Agency,SKAGIT,SIERRA PACIFIC INDUSTRIES,25.96,16.06,0.92,176.2,64.21,290.3,1.5,14353 Mcfarland Road,Mount Vernon,98273-8232,48.44840,-122.43403,HAP and CAP Major
2019,Northwest Clean Air Agency,SKAGIT,PSE FREDONIA,9.9,9.9,2.2,378,2.9,5.8,1.2,13085 Ball Road,Mount Vernon,98273-8201,48.45500,-122.43400,CAP Major
2019,Northwest Clean Air Agency,SKAGIT,CHEMTRADE,0.62032,0.46539,153.078355,0.56,0.89,0.72,,8579 N TEXAS RD,Anacortes,98221-8603,48.47890,-122.55816,CAP Major
2019,Northwest Clean Air Agency,SKAGIT,Air Liquide,1.31,1.31,0.01,10.11,1.62,0.24,,8581 S. Texas Road,Anacortes,98221-9340,48.46736,-122.55381,CAP Major
2019,Northwest Clean Air Agency,SKAGIT,Matheson Gas Anacortes,1.15,1.03,0.56,7.4,2.31,5.19,1.41,8579 S. Texas Road,Anacortes,98221,48.46766,-122.55500,CAP Major
2019,Northwest Clean Air Agency,SKAGIT,Anacortes Wastewater Treatment Plant,0.03,0.03,0.12,0.56,,0.08,,500 T Avenue,Anacortes,98221,48.51816,-122.60661,Non-Major
2019,Northwest Clean Air Agency,WHATCOM,PHILLIPS 66 Ferndale Refinery,27,21,36,711,891,167,9,3901 UNICK RD,Ferndale,98248-9003,48.83389,-122.69056,CAP Major
2019,Northwest Clean Air Agency,WHATCOM,NORTHWEST PIPELINE GP SUMAS,4,4,8.74,182.2,8.45,19.59,0,4738 JONES RD,Sumas,98295-9405,49.00038,-122.22006,HAP and CAP Major
2019,Northwest Clean Air Agency,WHATCOM,PSE ENCOGEN GENERATING STATION,12.2,12.2,2.8,43.7,0.6,7.8,10.9,915 CORNWALL AVE,Bellingham,98225-5030,48.74556,-122.48333,CAP Major
2019,Northwest Clean Air Agency,WHATCOM,PSE Ferndale Generating Station,29.2,29.2,7.81,103.81,11.4,11.9,3.19,5105 LAKE TERRELL RD,Ferndale,98248-9596,48.84083,-122.68723,CAP Major
2019,Northwest Clean Air Agency,WHATCOM,"ERSHIGS, INC.",0.02,0.02,0,0.44,8.41,0.13,,742 MARINE DRIVE,Bellingham,98227-1707,48.88861,-122.52440,HAP Major
2019,Northwest Clean Air Agency,WHATCOM,MAAX US CORP,,,,,15.79,,,2150 DIVISION ST,Bellingham,98226-9142,48.79803,-122.44739,HAP Major
2019,Northwest Clean Air Agency,WHATCOM,"CHEMCO, INC.",0,0,0,0.45,18.37,0.38,0,4191 GRANDVIEW ROAD,Ferndale,98248-8540,48.89010,-122.70840,HAP Major
2019,Northwest Clean Air Agency,WHATCOM,BP CHERRY POINT REFINERY,134.44,134.24,608.1,1916.26,484.37,336.3,0.1343,4519 GRANDVIEW RD,Blaine,98230-9640,48.89194,-122.73453,HAP and CAP Major
2019,Northwest Clean Air Agency,WHATCOM,PSE WHITEHORN,0.4,0.4,0.1,20.4,0.2,1.73,0,4930 Brown Road,Blaine,98230-9063,48.88530,-122.75116,CAP Major
2019,Northwest Clean Air Agency,WHATCOM,PSE SUMAS,11.3,11.3,3.3,33.9,4.4,3.2,22.8,1340 THOMPSON LANE,Sumas,98295,48.99028,-122.27361,CAP Major
2019,Northwest Clean Air Agency,WHATCOM,Lehigh Cement Company,4.86,1.72,,,,,,741 Marine Drive,Bellingham,98225,48.76913,-122.52457,Synthetic Non-Major
2019,Northwest Clean Air Agency,WHATCOM,Post Point Pollution Control Plant,,,0.26,15.82,3.24,8.97,,200 McKenzie Street,Bellingham,98225-7039,48.71887,-122.51467,Non-Major
2019,Southwest Clean Air Agency,CLARK,City of Vancouver - Westside Wastewater Treatment Plant,0.80165,0.79165,0.1232,4.142,16.7167,0.49,,2323 W Mill Plain Boulevard,Vancouver,98660,45.635294,-122.694792,Non-Major
2019,Southwest Clean Air Agency,CLARK,Clark Public Utilities - River Road Generating Project,33.108,33.108,3.829,76.651,0.044,14.531,8.625,5201 NW Lower River Road,Vancouver,98660-1066,45.64994,-122.724524,CAP Major
2019,Southwest Clean Air Agency,CLARK,Northwest Pipeline LLC - Washougal,2.56268,2.56268,0.05612,37.9665,5.2171,13.649,,1309 NE Brown Road,Washougal,98671,45.63236,-122.36516,HAP and CAP Major
2019,Southwest Clean Air Agency,COWLITZ,Mint Farm Generating Station,35.672,35.672,5.4301,53.05,12.7229,6.17,6,1200 Prudential Boulevard,Longview,98632,46.14034,-122.98519,CAP Major
2019,Southwest Clean Air Agency,COWLITZ,Cowlitz County Headquarters Landfill,1.28026,1.28026,6.6901,4.08,9.5004,4.442,,3434 South Silver Lake Road,Castle Rock,98611,46.2448,-122.7721,Non-Major
2019,Southwest Clean Air Agency,COWLITZ,Eagle US 2 LLC,0.451,0.189,,,,74.7,,3451 Industrial Way,Longview,98632,46.129403,-122.9893,CAP Major
2019,Southwest Clean Air Agency,COWLITZ,"Owens-Brockway Glass Container, Inc. - Plant 2",5.3785,5.3283,0.4531,4.9415,13.4501,3.4408,,2310 N Hendrickson Drive,Kalama,98625,46.032172,-122.864736,Non-Major
2019,Southwest Clean Air Agency,COWLITZ,"Emerald Kalama Chemical, LLC",14.4376,14.4376,2.508,61.945,25.63439,35.3754,0,1296 Third Street NW,Kalama,98625-9799,46.02191,-122.85698,CAP Major
2019,Southwest Clean Air Agency,LEWIS,"TransAlta Centralia Mining, LLC",17.74357,6.96357,0.0033,5.957,1.4602,1.622,,1015 Big Hanaford Road,Centralia,98531,46.75388,-122.85107,CAP Major
2019,Southwest Clean Air Agency,LEWIS,Northwest Pipeline LLC - Chehalis,0.3476,0.3476,0.0441,2.52,0.224,1.02,,156 W Meier Road,Chehalis,98532,46.533753,-122.87374,HAP and CAP Major
2019,Southwest Clean Air Agency,LEWIS,PacifiCorp - Chehalis Generation Facility,61.99,61.99,8.67,88.23,9.24,19.49,15.7,1813 Bishop Road,Chehalis,98532,46.62264,-122.9145,CAP Major
2019,Southwest Clean Air Agency,LEWIS,Cardinal FG Winlock,25.109,22.162,49.271,694.044,9.241,212.305,,545 Avery Road West,Winlock,98596,46.5439,-122.9259,CAP Major
2019,Southwest Clean Air Agency,LEWIS,Sierra Pacific Industries - Centralia Division,15.18,6.92,9.38,34.56,87.19,49.52,5.63,3115 Kuper Road,Centralia,98531,46.7566,-122.9953,CAP Major
2019,Southwest Clean Air Agency,LEWIS,Hampton Lumber Mills/Cowlitz Division - Morton,41.33001,13.56001,1.1,56.5,118.3,45.75,5.78,302 State Route 7,Morton,98356,46.56621,-122.26882,HAP and CAP Major
2019,Southwest Clean Air Agency,LEWIS,Hampton Lumber Mills/Cowlitz Division - Randle,25.29,12.17,8.6,42.9,72.04023,48.37,0.00527,10166 US Highway 12,Randle,98377,46.53299,-121.92077,CAP Major
2019,Southwest Clean Air Agency,LEWIS,"TransAlta Centralia Generation, LLC",595.39,517.78,2275.91,8129.23,533.09,3312.45,10.1135,913 Big Hanaford Road,Centralia,98531,46.755766,-122.858237,HAP and CAP Major
2019,Olympic Region Clean Air Agency,CLALLAM,McKinley Paper Company,,,,,0.004,,,1902 Marine Dr,Port Angeles,98362,48.135179,-123.466428,HAP and CAP Major
2019,Olympic Region Clean Air Agency,GRAYS HARBOR,Simpson Door Co,26.003,26.002,0.1,0.8,0.06,0.4,,400 Simpson Ave,Mccleary,98557,47.0595,-123.2664,Unknown
2019,Olympic Region Clean Air Agency,GRAYS HARBOR,Sierra Pacific Industries - Cogeneration,6.7066,4.4054,1.48,104.63,1.47,200.06,5.899,301 Hagara St,Aberdeen,98520,46.973,-123.77583,CAP Major
2019,Olympic Region Clean Air Agency,GRAYS HARBOR,Sierra Pacific Industries,20.82,12.802,,,94.52,,,301 Hagara Street,Aberdeen,98520,46.97305,-123.77521,HAP Major
2019,Olympic Region Clean Air Agency,GRAYS HARBOR,Ascensus Specialty Chemicals LLC,0.09018,0.06015,0.14021,13.3,15.4919,12.96,,4800 State Rt 12,Elma,98541,46.99747,-123.38224,Synthetic Non-Major
2019,Olympic Region Clean Air Agency,GRAYS HARBOR,Paneltech,0.02,0.013,0.018,3.1,77.47,2.6,,2999 John - Stevens Wy,Hoquiam,98550,46.97085,-123.85647,HAP Major
2019,Olympic Region Clean Air Agency,GRAYS HARBOR,Westport LLC,,,,,10.05,,,1807 Nyhus St,Westport,98595,46.9057,-124.10851,HAP Major
2019,Olympic Region Clean Air Agency,GRAYS HARBOR,Grays Harbor Energy,58,58,5.4,95.7,3.5,8.5,18.1155,401 Keys Rd,Elma,98541,46.967565,-123.481109,CAP Major
2019,Olympic Region Clean Air Agency,MASON,Sierra Pacific Industries - Shelton,30.7,18.88,0.2,53,135.6,70,,3rd & Franklin,Shelton,98584,47.21233,-123.09561,HAP and CAP Major
2019,Olympic Region Clean Air Agency,PACIFIC,Weyerhaeuser Raymond,14.5,8.5,2.3,42.6,55.1,8.9,,51 Ellis St,Raymond,98577,46.69141,-123.74111,HAP and CAP Major
2019,Olympic Region Clean Air Agency,THURSTON,Crown Cork & Seal Co Inc,0.48,0.48,0.002,3.96,217.34,0.83,,1202 Fones Rd,Olympia,98501,47.0397,-122.84559,CAP Major
2019,Olympic Region Clean Air Agency,THURSTON,Aquatic Co,,,,,13,,,801 Northern Pacific,Yelm,98597,46.95048,-122.59767,HAP and CAP Major
2019,Yakima Regional Clean Air Agency,YAKIMA,"Novolex Shields, LLC",0,0,0,3.1,450.3,1.5,0,1009 Rock Avenue,Yakima,98902,46.58680,-120.50350,CAP Major
2019,Yakima Regional Clean Air Agency,YAKIMA,"SunSteel,LLC",0.095155,0,0,9.1,31.5,0,,2099 Morgan,Sunnyside,98944,46.32837,-119.99125,CAP Major
2019,Yakima Regional Clean Air Agency,YAKIMA,Terrace Heights Landfill,24.7116,6.41025,0.0023,1.2,32.51,4.49,0,7601 Roza Hill Dr,Yakima,98901,46.60685,-120.40418,CAP Major
2019,Yakima Regional Clean Air Agency,YAKIMA,Cheyne Landfill Yakima Co Pub SrvcS Solid Wst Div,4.11827,0.60612,0.00011,0.11,8.9,1.097,0,4970 Cheyne Road,Zillah,98953,46.47500,-120.26900,Non-Major
2019,Benton Clean Air Agency,BENTON,CHS Inc. dba Connel Grain Growers,2.32,0.37,,,,,,900 E Columbia Dr,Kennewick,99336,46.21294,-119.10268,Non-Major
2019,Benton Clean Air Agency,BENTON,Agrium US Inc,2.29,1.13,0,45.73,0.2,1.5,33.45,227515 E Bowles Road,Kennewick,99337,46.16610,-119.01610,CAP Major
2019,Benton Clean Air Agency,BENTON,Williams Pipeline,0.62,0.6,0.07,96.97,4.49,15.91,,42612 E. Christy Rd,Plymouth,99346,45.93033,-119.41207,CAP Major
2019,Benton Clean Air Agency,BENTON,Ingredion Incorporated,14.53,3.03,0.28,24.61,2.07,6.9,,216 University Drive,Richland,99354,46.33719,-119.26459,Non-Major
2019,Benton Clean Air Agency,BENTON,"Lamb Weston, Inc.",8.9,8.9,0.2,35.6,12.75,29.9,1.2,2013 Saint St,Richland,99354,46.31128,-119.29989,Synthetic Non-Major
2019,Benton Clean Air Agency,BENTON,Central Washington Asphalt - Benton City,1.6,1.4,0.2,1.3,1.24825,21.4,,16004 E Field Rd,Benton City,99320,46.24194,-119.46694,Synthetic Non-Major
2019,Benton Clean Air Agency,BENTON,Fruitsmart,,,,0.3,,0.3,0,506 6th St,Prosser,99350,46.22861,-119.77500,Non-Major
2019,Benton Clean Air Agency,BENTON,Tree Top Inc,0.4,,0.4,7.2,0.8,12.4,0.25,2780 Lee Rd,Prosser,99350,46.21750,-119.71750,Synthetic Non-Major
2019,Benton Clean Air Agency,BENTON,Milne Fruit Products,0.58,0.19,0.06,10.22,0.67,8.59,0.9,804 Bennett Av,Prosser,99350,46.20194,-119.77417,Non-Major
2019,Benton Clean Air Agency,BENTON,Sandvik Special Metals LLC,,,,13.66,0.25,0.64,,235407 E. SR 397,Kennewick,99337,46.14563,-119.01199,Non-Major
2019,Benton Clean Air Agency,BENTON,Framatome,,,,2.46,,,,2101 Horn Rapids Rd,Richland,99354,46.34889,-119.30028,Synthetic Non-Major
2019,Benton Clean Air Agency,BENTON,Tessenderlo Kerley Inc,2.5,2.26,0.06,1.13,0.17,1.14,0.4,233807 Straightbank Rd.,Kennewick,99337,46.14000,-119.00917,Non-Major
2019,Benton Clean Air Agency,BENTON,"Greenbriar  Rail Services, LLC",0.18,0.12,0.1,4,0.36,13,,228919 E Cochran Rd,Kennewick,99337,46.16111,-119.01917,Non-Major
2019,Benton Clean Air Agency,BENTON,Simplot Agribusiness,1.1,0.1,,,,,,227120 E Hedges Rd,Kennewick,99337,46.17363,-119.01988,Non-Major
2019,Benton Clean Air Agency,BENTON,Inland Asphalt Company,5.67,5.67,3.21,5.86,2.55,10.21,,955 Lacey St,Richland,99352,46.25639,-119.27778,Non-Major
2019,Benton Clean Air Agency,BENTON,North Central Construction Crusher #4,1.2,0.3,,,,,,16004 E Field Rd,Benton City,99320,46.24194,-119.46694,Non-Major
2019,Benton Clean Air Agency,BENTON,Granite Construction Co.,1.07,0.28,0.09,0.73,1.3,3.83,,2090 Robertson Drive,Richland,99352,46.31807,-119.29555,Non-Major
2019,Benton Clean Air Agency,BENTON,PROBUILD,5.3,5.3,,,12.2,,,3919 W CLEARWATER AVE,Kennewick,99336,46.21167,-119.17222,Synthetic Non-Major
2019,Benton Clean Air Agency,BENTON,Columbia Crest Winery,,,,0.16,7.46,0.14,,"Hwy 221, Columbia Crest Dr.",Paterson,99345,48.95591,-119.60766,Non-Major
2019,Benton Clean Air Agency,BENTON,Kadlec Regional Medical Center,0,0,0.03,1.09,0.16,0.67,,888 Swift Blvd.,Richland,99352,46.28088,-119.28266,Non-Major
2019,Benton Clean Air Agency,BENTON,"AAA Concrete, Inc. Concrete Batch Plant",0.8,0.1,,,,,,16004 E Field Rd,Benton City,99320,46.24316,-119.46122,Non-Major
2019,Benton Clean Air Agency,BENTON,Lamb Weston Line 5,4.6,4.6,0.16,26.3,5.1,22.1,0.84,2009 Saint St.,Richland,99354,46.30919,-119.29413,Non-Major
2019,Spokane Regional Clean Air Agency,SPOKANE,Kaiser Trentwood,51.46,43.09,0.75,119.89,221.04,115.93,0.82,15000 E Euclid,Spokane,99216,47.68722,-117.21160,CAP Major
2019,Spokane Regional Clean Air Agency,SPOKANE,Fiber-Tech Industries,0,0,,,61.2,,,3808 N Sullivan Rd Bldg 31,Spokane,99216,47.68658,-117.19113,HAP and CAP Major
2019,Spokane Regional Clean Air Agency,SPOKANE,Melcher Mfg Co Inc,0.36,0.36,,,4.37,,,6017 E Mission Ave,Spokane,99212,47.67139,-117.32361,HAP Major
2019,Spokane Regional Clean Air Agency,SPOKANE,Inland Empire Paper,51.474375,51.374375,0.15452,75.7,7.331075,10.01,0.45808,3320 N Argonne Rd,Spokane,99212,47.6875,-117.27944,CAP Major
2019,Spokane Regional Clean Air Agency,SPOKANE,Transcanada GTN System,4.55,4.55,2.72,84.92,10.58,49.62,,315 W Babb Rd,Rosalia,99170,47.27778,-117.40389,CAP Major
2019,Spokane Regional Clean Air Agency,SPOKANE,Waste To Energy,19.3,15.5,8.21,319.14,0.3,27.42,2.1,2900 S Geiger Blvd,Spokane,99224,47.62656,-117.50325,HAP and CAP Major
2019,Spokane Regional Clean Air Agency,SPOKANE,Mutual Materials,30.1762,7.3101,19.03785,9.91,0.68,33.99,0.04725,South 10627 State Route 27,Mica,99023,47.55944,-117.21278,HAP and CAP Major
2019,Spokane Regional Clean Air Agency,SPOKANE,Northside Landfill,0.49,0.49,0.04,0.37,0.07,0.77,,7202 N Nine Mile Rd,Spokane,99211,47.72421,-117.49043,CAP Major
2019,Dept. of Ecology Nuclear Waste Section,BENTON,U.S. Dept of Energy,1.02,0.75,0.64,14.81,6.5,8.48,1.96,Hanford Reservation,Richland,99352,46.27800,-119.27500,HAP and CAP Major
2019,Dept. of Ecology Industrial Section,CHELAN,Alcoa Wenatchee LLC,3,3,,,,,,6200 Malaga Alcoa Hwy,Malaga,98828,47.35847,-120.13121,HAP Major
